024  00119 |Loss: 1.541 | Acc: 28.125% 
024  00120 |Loss: 1.523 | Acc: 28.000% 
025  00121 |Loss: 1.460 | Acc: 40.625% 
025  00122 |Loss: 1.473 | Acc: 40.625% 
025  00123 |Loss: 1.510 | Acc: 39.583% 
025  00124 |Loss: 1.533 | Acc: 36.719% 
025  00125 |Loss: 1.528 | Acc: 37.333% 
026  00126 |Loss: 1.406 | Acc: 25.000% 
026  00127 |Loss: 1.506 | Acc: 31.250% 
026  00128 |Loss: 1.533 | Acc: 28.125% 
026  00129 |Loss: 1.556 | Acc: 28.125% 
026  00130 |Loss: 1.522 | Acc: 28.000% 
027  00131 |Loss: 1.530 | Acc: 37.500% 
027  00132 |Loss: 1.496 | Acc: 34.375% 
027  00133 |Loss: 1.499 | Acc: 33.333% 
027  00134 |Loss: 1.483 | Acc: 33.594% 
027  00135 |Loss: 1.517 | Acc: 32.000% 
028  00136 |Loss: 1.498 | Acc: 34.375% 
028  00137 |Loss: 1.478 | Acc: 32.812% 
028  00138 |Loss: 1.471 | Acc: 34.375% 
028  00139 |Loss: 1.484 | Acc: 33.594% 
028  00140 |Loss: 1.510 | Acc: 34.000% 
029  00141 |Loss: 1.593 | Acc: 31.250% 
029  00142 |Loss: 1.568 | Acc: 29.688% 
029  00143 |Loss: 1.512 | Acc: 34.375% 
029  00144 |Loss: 1.542 | Acc: 29.688% 
029  00145 |Loss: 1.491 | Acc: 30.000% 
030  00146 |Loss: 1.346 | Acc: 40.625% 
030  00147 |Loss: 1.475 | Acc: 31.250% 
030  00148 |Loss: 1.427 | Acc: 34.375% 
030  00149 |Loss: 1.456 | Acc: 37.500% 
030  00150 |Loss: 1.521 | Acc: 35.333% 
031  00151 |Loss: 1.461 | Acc: 40.625% 
031  00152 |Loss: 1.415 | Acc: 39.062% 
031  00153 |Loss: 1.493 | Acc: 35.417% 
031  00154 |Loss: 1.499 | Acc: 33.594% 
031  00155 |Loss: 1.521 | Acc: 33.333% 
032  00156 |Loss: 1.449 | Acc: 43.750% 
032  00157 |Loss: 1.476 | Acc: 35.938% 
032  00158 |Loss: 1.463 | Acc: 34.375% 
032  00159 |Loss: 1.478 | Acc: 35.938% 
032  00160 |Loss: 1.499 | Acc: 34.000% 
033  00161 |Loss: 1.618 | Acc: 18.750% 
033  00162 |Loss: 1.520 | Acc: 35.938% 
033  00163 |Loss: 1.506 | Acc: 35.417% 
033  00164 |Loss: 1.479 | Acc: 34.375% 
033  00165 |Loss: 1.482 | Acc: 36.000% 
034  00166 |Loss: 1.593 | Acc: 25.000% 
034  00167 |Loss: 1.490 | Acc: 29.688% 
034  00168 |Loss: 1.463 | Acc: 32.292% 
034  00169 |Loss: 1.518 | Acc: 30.469% 
034  00170 |Loss: 1.503 | Acc: 29.333% 
035  00171 |Loss: 1.460 | Acc: 40.625% 
035  00172 |Loss: 1.495 | Acc: 32.812% 
035  00173 |Loss: 1.568 | Acc: 31.250% 
035  00174 |Loss: 1.519 | Acc: 31.250% 
035  00175 |Loss: 1.481 | Acc: 34.667% 
036  00176 |Loss: 1.513 | Acc: 21.875% 
036  00177 |Loss: 1.575 | Acc: 28.125% 
036  00178 |Loss: 1.584 | Acc: 31.250% 
036  00179 |Loss: 1.513 | Acc: 34.375% 
036  00180 |Loss: 1.488 | Acc: 35.333% 
037  00181 |Loss: 1.409 | Acc: 43.750% 
037  00182 |Loss: 1.453 | Acc: 39.062% 
037  00183 |Loss: 1.493 | Acc: 31.250% 
037  00184 |Loss: 1.513 | Acc: 28.906% 
037  00185 |Loss: 1.485 | Acc: 28.667% 
038  00186 |Loss: 1.537 | Acc: 18.750% 
038  00187 |Loss: 1.481 | Acc: 31.250% 
038  00188 |Loss: 1.471 | Acc: 32.292% 
038  00189 |Loss: 1.453 | Acc: 33.594% 
038  00190 |Loss: 1.487 | Acc: 34.000% 
039  00191 |Loss: 1.439 | Acc: 31.250% 
039  00192 |Loss: 1.481 | Acc: 35.938% 
039  00193 |Loss: 1.505 | Acc: 33.333% 
039  00194 |Loss: 1.502 | Acc: 32.812% 
039  00195 |Loss: 1.486 | Acc: 34.667% 
040  00196 |Loss: 1.565 | Acc: 25.000% 
040  00197 |Loss: 1.543 | Acc: 29.688% 
040  00198 |Loss: 1.515 | Acc: 29.167% 
040  00199 |Loss: 1.464 | Acc: 28.125% 
040  00200 |Loss: 1.477 | Acc: 30.000% 
041  00201 |Loss: 1.300 | Acc: 37.500% 
041  00202 |Loss: 1.359 | Acc: 32.812% 
041  00203 |Loss: 1.429 | Acc: 31.250% 
041  00204 |Loss: 1.434 | Acc: 35.156% 
041  00205 |Loss: 1.457 | Acc: 33.333% 
042  00206 |Loss: 1.463 | Acc: 46.875% 
042  00207 |Loss: 1.505 | Acc: 39.062% 
042  00208 |Loss: 1.446 | Acc: 33.333% 
042  00209 |Loss: 1.421 | Acc: 38.281% 
042  00210 |Loss: 1.463 | Acc: 34.667% 
